Title,Description,Priority,Estimate,Labels,Assignee,Parent,Blocked By
"[Foundation] Enable PostHog SDK globally","Remove the posthog_integration feature flag gate and initialize PostHog SDK globally in the application.

**Acceptance Criteria:**
- PostHog SDK initialized in apps/client/src/app/layout.tsx
- Environment variables configured: NEXT_PUBLIC_POSTHOG_KEY, NEXT_PUBLIC_POSTHOG_HOST
- Debug mode enabled for development environment
- PostHog loads on all pages without errors
- Verify PostHog session recording is capturing (check PostHog dashboard)

**Files to modify:**
- apps/client/src/app/layout.tsx
- .env.production

**Implementation:**
```typescript
import posthog from 'posthog-js'

if (typeof window !== 'undefined') {
  posthog.init(process.env.NEXT_PUBLIC_POSTHOG_KEY!, {
    api_host: process.env.NEXT_PUBLIC_POSTHOG_HOST,
    loaded: (posthog) => {
      if (process.env.NODE_ENV === 'development') posthog.debug()
    },
    capture_pageview: false,
    capture_pageleave: true
  })
}
```",P0,2,"infrastructure,analytics,p0",Albert,Phase 1: Foundation,
"[Foundation] Create PostHog types and event constants","Create TypeScript types for all PostHog events and a centralized constants file to prevent typos and ensure type safety.

**Acceptance Criteria:**
- Create apps/client/src/lib/analytics/types.ts with event interfaces
- Create apps/client/src/lib/analytics/events.ts with event name constants
- Create apps/client/src/lib/analytics/properties.ts with shared property helpers
- All events have TypeScript interfaces with required properties
- Event names follow consistent naming convention: entity_action (snake_case)
- Export barrel file from apps/client/src/lib/analytics/index.ts

**Files to create:**
- apps/client/src/lib/analytics/types.ts
- apps/client/src/lib/analytics/events.ts
- apps/client/src/lib/analytics/properties.ts
- apps/client/src/lib/analytics/index.ts

**Implementation:**
```typescript
// types.ts
export interface OnboardingStepCompletedEvent {
  step: 'welcome' | 'domain_analysis' | 'product_setup' | 'prompt_selection' | 'subscription_selection' | 'complete';
  timeSpent: number;
  organizationId: string;
  userId: string;
}

// events.ts
export const ANALYTICS_EVENTS = {
  ONBOARDING_STARTED: 'onboarding_started',
  ONBOARDING_STEP_COMPLETED: 'onboarding_step_completed',
  // ... all other events
} as const;
```",P0,3,"infrastructure,analytics,types",Albert,Phase 1: Foundation,"[Foundation] Enable PostHog SDK globally"
"[Foundation] Create PostHog tracking helper functions","Create wrapper functions around PostHog SDK for consistent tracking with error handling, type safety, and organization/user context injection.

**Acceptance Criteria:**
- Create apps/client/src/lib/analytics/tracker.ts with helper functions
- trackEvent() function automatically injects organizationId, userId, timestamp
- identifyUser() function sets user properties on auth
- setOrganizationContext() function updates organization properties
- All functions have error handling with silent failures in production
- Functions log to console in development for debugging
- Type-safe: accepts event types from previous task

**Files to create:**
- apps/client/src/lib/analytics/tracker.ts

**Implementation:**
```typescript
import posthog from 'posthog-js';

export const trackEvent = <T extends Record<string, any>>(
  eventName: string,
  properties: T,
  session?: Session
) => {
  try {
    const enrichedProperties = {
      ...properties,
      organizationId: session?.activeOrganizationId,
      userId: session?.userId,
      timestamp: new Date().toISOString(),
      environment: process.env.NODE_ENV
    };
    posthog.capture(eventName, enrichedProperties);
    if (process.env.NODE_ENV === 'development') {
      console.log('[Analytics]', eventName, enrichedProperties);
    }
  } catch (error) {
    console.error('[Analytics Error]', error);
  }
};
```",P0,3,"infrastructure,analytics,utilities",Albert,Phase 1: Foundation,"[Foundation] Create PostHog types and event constants"
"[Foundation] Add user identification on authentication","Call identifyUser() whenever a user authenticates to associate all subsequent events with the user profile.

**Acceptance Criteria:**
- Call identifyUser() in auth callback after successful login
- Call setOrganizationContext() when organization context is available
- Fetch subscription data to include plan in user properties
- Verify in PostHog dashboard that user profiles are being created
- Verify organizationId is set as group property

**Files to modify:**
- Auth callback location (check Better Auth documentation)
- Possibly apps/client/src/middleware.ts if session refresh happens there

**Implementation:**
```typescript
const session = await auth();
if (session) {
  const subscription = await prisma.subscription.findFirst({
    where: { organizationId: session.activeOrganizationId }
  });

  identifyUser(session, subscription);

  const organization = await prisma.organization.findUnique({
    where: { id: session.activeOrganizationId },
    include: { members: true }
  });

  if (organization) {
    setOrganizationContext(organization);
  }
}
```",P0,2,"infrastructure,analytics,auth",Albert,Phase 1: Foundation,"[Foundation] Create PostHog tracking helper functions"
"[Foundation] Add automatic page view tracking","Track page views automatically using Next.js App Router navigation events with page metadata.

**Acceptance Criteria:**
- Page views tracked on route changes
- Properties include: pathname, referrer, organizationSlug, productSlug
- Extract orgSlug and productSlug from URL params
- Verify in PostHog dashboard that pageviews are captured
- No duplicate events on hydration/re-renders

**Files to modify:**
- apps/client/src/app/layout.tsx

**Implementation:**
```typescript
'use client';
import { useEffect } from 'react';
import { usePathname, useSearchParams } from 'next/navigation';
import posthog from 'posthog-js';

export function PostHogPageView() {
  const pathname = usePathname();
  const searchParams = useSearchParams();

  useEffect(() => {
    if (pathname) {
      let url = window.origin + pathname;
      if (searchParams.toString()) {
        url = url + `?${searchParams.toString()}`;
      }
      posthog.capture('$pageview', { '$current_url': url, pathname });
    }
  }, [pathname, searchParams]);

  return null;
}
```",P1,2,"infrastructure,analytics,navigation",Albert,Phase 1: Foundation,"[Foundation] Enable PostHog SDK globally"
"[Onboarding] Track onboarding started event","Fire onboarding_started event when user enters the onboarding flow for the first time.

**Acceptance Criteria:**
- Event fired when onboarding store initializes with currentStep === 'welcome'
- Event includes: organizationId, userId, timestamp
- Event only fires once per user (check if already completed)
- Verify event appears in PostHog

**Files to modify:**
- apps/client/src/app/_components/first-time-onboarding/onboarding-store.ts

**Implementation:**
```typescript
if (currentStep === 'welcome' && !hasStartedOnboarding) {
  trackEvent(ANALYTICS_EVENTS.ONBOARDING_STARTED, {
    step: 'welcome',
    organizationId: session.activeOrganizationId,
    userId: session.userId
  });
}
```",P0,1,"onboarding,analytics,activation",Albert,Phase 2: Onboarding,"[Foundation] Create PostHog tracking helper functions"
"[Onboarding] Track onboarding step completion","Track when each onboarding step is completed with time spent on that step.

**Acceptance Criteria:**
- Track onboarding_step_completed when completeStep() is called
- Calculate timeSpent by storing step start timestamp
- Event properties: step name, timeSpent, organizationId, userId
- All 7 steps tracked: welcome, loading-steps, invite-selection, product-setup, prompt-selection, subscription-selection, complete
- Verify funnel in PostHog dashboard

**Files to modify:**
- apps/client/src/app/_components/first-time-onboarding/onboarding-store.ts

**Implementation:**
```typescript
interface OnboardingState {
  currentStep: OnboardingStep;
  stepStartTime: number; // Add this
}

const completeStep = (step: OnboardingStep) => {
  const timeSpent = Date.now() - get().stepStartTime;
  trackEvent(ANALYTICS_EVENTS.ONBOARDING_STEP_COMPLETED, {
    step,
    timeSpent: Math.floor(timeSpent / 1000),
    organizationId: session.activeOrganizationId,
    userId: session.userId
  });
  set({
    completedSteps: [...get().completedSteps, step],
    stepStartTime: Date.now()
  });
};
```",P0,2,"onboarding,analytics,activation",Albert,Phase 2: Onboarding,"[Onboarding] Track onboarding started event"
"[Onboarding] Track onboarding completion","Fire onboarding_completed event when user reaches the final complete step.

**Acceptance Criteria:**
- Event fired when step === 'complete'
- Calculate total onboarding time (from start to completion)
- Properties: totalTimeSpent (seconds), stepsCompleted (count), organizationId, userId
- Update user property: onboardingCompletedAt: timestamp
- Verify event in PostHog

**Files to modify:**
- apps/client/src/app/_components/first-time-onboarding/steps/complete-step.tsx

**Implementation:**
```typescript
useEffect(() => {
  const totalTimeSpent = Date.now() - onboardingStartTime;
  trackEvent(ANALYTICS_EVENTS.ONBOARDING_COMPLETED, {
    totalTimeSpent: Math.floor(totalTimeSpent / 1000),
    stepsCompleted: completedSteps.length,
    organizationId: session.activeOrganizationId,
    userId: session.userId
  });
  posthog.setPersonProperties({
    onboardingCompletedAt: new Date().toISOString()
  });
}, []);
```",P0,1,"onboarding,analytics,activation",Albert,Phase 2: Onboarding,"[Onboarding] Track onboarding step completion"
"[Onboarding] Track onboarding abandonment","Track when users abandon onboarding (navigate away before completing).

**Acceptance Criteria:**
- Detect when user navigates away from onboarding flow
- Event properties: lastStep, timeSpentTotal, stepsCompleted, organizationId, userId
- Don't fire if onboarding already completed
- Use beforeunload or Next.js navigation events to detect abandonment

**Files to modify:**
- Create wrapper component or modify existing onboarding container

**Implementation:**
```typescript
useEffect(() => {
  const handleBeforeUnload = () => {
    if (!isOnboardingCompleted && currentStep !== 'complete') {
      trackEvent(ANALYTICS_EVENTS.ONBOARDING_ABANDONED, {
        lastStep: currentStep,
        timeSpentTotal: Math.floor((Date.now() - startTime) / 1000),
        stepsCompleted: completedSteps.length,
        organizationId: session.activeOrganizationId,
        userId: session.userId
      });
    }
  };
  window.addEventListener('beforeunload', handleBeforeUnload);
  return () => window.removeEventListener('beforeunload', handleBeforeUnload);
}, [currentStep, isOnboardingCompleted]);
```",P1,2,"onboarding,analytics,activation",Albert,Phase 2: Onboarding,"[Onboarding] Track onboarding step completion"
"[Onboarding] Track domain analysis success/failure","Track whether AI-powered domain analysis succeeds or fails during onboarding.

**Acceptance Criteria:**
- Event: domain_analysis_completed with success/failure status
- Properties: domain, detectedLanguage, hasLogo, hasDescription, hasDifferentiators, timeToAnalyze
- Fire on API response in loading-steps component
- Verify in PostHog

**Files to modify:**
- apps/client/src/app/_components/first-time-onboarding/steps/loading-steps.tsx

**Implementation:**
```typescript
const analyzeDomain = async (domain: string) => {
  const startTime = Date.now();
  try {
    const response = await fetch('/api/v1/onboarding/analyze-domain', {
      method: 'POST',
      body: JSON.stringify({ domain })
    });
    const data = await response.json();
    trackEvent(ANALYTICS_EVENTS.DOMAIN_ANALYSIS_COMPLETED, {
      domain,
      success: true,
      detectedLanguage: data.detectedLanguage,
      hasLogo: !!data.logo,
      timeToAnalyze: Math.floor((Date.now() - startTime) / 1000),
      organizationId: session.activeOrganizationId
    });
  } catch (error) {
    trackEvent(ANALYTICS_EVENTS.DOMAIN_ANALYSIS_COMPLETED, {
      domain,
      success: false,
      error: error.message,
      organizationId: session.activeOrganizationId
    });
  }
};
```",P1,1,"onboarding,analytics,activation",Albert,Phase 2: Onboarding,"[Onboarding] Track onboarding step completion"
"[Feature Adoption] Track first conversation query created","Track when a user creates their first conversation query (key activation milestone).

**Acceptance Criteria:**
- Event: conversation_query_created with isFirstQuery: true flag
- Properties: queryId, queryType, answerEngine, organizationId, userId, daysSinceSignup
- Fire from API endpoint after query creation
- Check if this is user's first query and set flag accordingly
- Verify in PostHog

**Files to modify:**
- apps/client/src/app/api/v1/conversation-queries/route.ts

**Implementation:**
```typescript
export async function POST(request: Request) {
  const newQuery = await prisma.conversationQuery.create({ /* ... */ });
  const queryCount = await prisma.conversationQuery.count({
    where: { organizationId: session.activeOrganizationId }
  });
  trackEvent(ANALYTICS_EVENTS.CONVERSATION_QUERY_CREATED, {
    queryId: newQuery.id,
    queryType: newQuery.type,
    answerEngine: newQuery.answerEngine,
    organizationId: session.activeOrganizationId,
    userId: session.userId,
    daysSinceSignup: getDaysSinceSignup(session.userId),
    isFirstQuery: queryCount === 1
  });
  if (queryCount === 1) {
    trackEvent(ANALYTICS_EVENTS.FEATURE_FIRST_USED, {
      feature: 'conversation_query',
      organizationId: session.activeOrganizationId,
      userId: session.userId
    });
  }
}
```",P0,2,"activation,analytics,feature-adoption",Albert,Phase 3: Feature Adoption,"[Foundation] Create PostHog tracking helper functions"
"[Feature Adoption] Track custom view creation","Track when users create custom views (indicates power user behavior).

**Acceptance Criteria:**
- Event: custom_view_created
- Properties: viewId, viewName, isDefault, organizationId, userId
- Check if this is first view → fire feature_first_used with feature: 'custom_view'
- Track from API endpoint after view creation

**Files to modify:**
- apps/client/src/app/api/v1/views/route.ts

**Implementation:**
```typescript
export async function POST(request: Request) {
  const newView = await prisma.view.create({ /* ... */ });
  const viewCount = await prisma.view.count({
    where: { organizationId: session.activeOrganizationId }
  });
  trackEvent(ANALYTICS_EVENTS.CUSTOM_VIEW_CREATED, {
    viewId: newView.id,
    viewName: newView.name,
    isDefault: newView.isDefault,
    organizationId: session.activeOrganizationId,
    userId: session.userId,
    isFirstView: viewCount === 1
  });
}
```",P1,1,"feature-adoption,analytics,power-users",Albert,Phase 3: Feature Adoption,"[Feature Adoption] Track first conversation query created"
"[Feature Adoption] Track tracked URL additions","Track when users add URLs to track (content analytics feature).

**Acceptance Criteria:**
- Event: tracked_url_added
- Properties: urlId, url, totalTrackedUrls, organizationId, userId
- Track first usage with feature_first_used
- Fire from API endpoint

**Files to modify:**
- apps/client/src/app/api/v1/tracked-urls/route.ts",P1,1,"feature-adoption,analytics",Albert,Phase 3: Feature Adoption,"[Feature Adoption] Track first conversation query created"
"[Feature Adoption] Track content gap analysis runs","Track when users run content gap analysis (advanced feature).

**Acceptance Criteria:**
- Event: content_gap_analysis_started
- Event: content_gap_analysis_completed with results metadata
- Properties: analysisId, conversationQueryId, contentGapType, organizationId
- Track first usage
- Fire from worker that processes analysis

**Files to modify:**
- Content gap analysis API route or worker",P2,1,"feature-adoption,analytics",Albert,Phase 3: Feature Adoption,"[Feature Adoption] Track first conversation query created"
"[Engagement] Track daily prompt feedback","Track when users provide feedback on daily generated prompts.

**Acceptance Criteria:**
- Event: daily_prompt_viewed when prompt is shown
- Event: daily_prompt_feedback when user clicks helpful/not helpful/dismissed
- Properties: promptId, feedback, brandId, organizationId, userId
- Fire from client-side component
- Update database DailyPromptGeneration record with feedback

**Files to modify:**
- Daily prompt component
- API endpoint for feedback submission",P0,2,"engagement,analytics,retention",Albert,Phase 4: Engagement,"[Foundation] Create PostHog tracking helper functions"
"[Engagement] Track weekly report subscription changes","Track when users enable/disable weekly report email subscriptions.

**Acceptance Criteria:**
- Event: weekly_report_subscription_enabled
- Event: weekly_report_subscription_disabled with optional reason
- Properties: brandId, dayOfWeek, timeOfDay, timezone, organizationId, userId
- Fire from API endpoint when subscription is created/updated

**Files to modify:**
- Weekly report subscription API endpoint",P0,1,"engagement,analytics,retention",Albert,Phase 4: Engagement,"[Foundation] Create PostHog tracking helper functions"
"[Engagement] Track weekly report email sent","Track when weekly report emails are sent from the worker.

**Acceptance Criteria:**
- Event: weekly_report_email_sent
- Properties: brandId, organizationId, userId, reportData (summary)
- Fire from apps/worker/src/workers/weekly-report.ts after email sent
- Include email ID from Resend for correlation
- Track send failures with separate event

**Files to modify:**
- apps/worker/src/workers/weekly-report.ts
- Export analytics functions from common package",P1,2,"engagement,analytics,email",Albert,Phase 4: Engagement,"[Engagement] Track weekly report subscription changes"
"[Engagement] Track weekly report email engagement","Track email opens and link clicks from weekly reports using Resend webhooks.

**Acceptance Criteria:**
- Set up Resend webhook endpoint to receive email events
- Event: weekly_report_email_opened
- Event: weekly_report_email_clicked with link target
- Correlate events with original email using emailId
- Verify events flow to PostHog

**Files to create:**
- apps/client/src/app/api/webhooks/resend/route.ts

**Files to modify:**
- apps/worker/src/workers/weekly-report.ts - add tags to email",P2,3,"engagement,analytics,email",Albert,Phase 4: Engagement,"[Engagement] Track weekly report email sent"
"[Engagement] Track opportunity interactions","Track when opportunities are created by AI and when users accept/dismiss them.

**Acceptance Criteria:**
- Event: opportunity_identified when AI creates opportunity
- Event: opportunity_status_changed when user accepts/dismisses
- Properties: opportunityId, queryRunType, rationale (truncated), status, brandId
- Fire from API endpoint or worker that creates opportunities

**Files to modify:**
- Opportunity creation logic (worker or API)
- apps/client/src/app/api/v1/opportunities/[opportunityId]/route.ts",P1,2,"engagement,analytics,value-realization",Albert,Phase 4: Engagement,"[Foundation] Create PostHog tracking helper functions"
